[339.226, 299.681]
[339.485, 299.943]
[339.745, 299.945]
[340.006, 299.947]
[340.265, 300.209]
[340.525, 300.211]
[340.785, 300.473]
[341.044, 300.735]
[341.304, 300.737]
[341.563, 300.999]
[341.823, 301.261]
[342.083, 301.264]
[342.342, 301.525]
[342.602, 301.787]
[342.861, 302.049]
[343.120, 302.311]
[343.380, 302.573]
[343.640, 302.575]
[343.899, 302.837]
[344.159, 303.099]
[344.419, 303.102]
[344.678, 303.363]
[344.939, 303.366]
[345.198, 303.628]
[345.458, 303.630]
[345.719, 303.632]
[345.979, 303.634]
[346.239, 303.636]
[346.499, 303.898]
[346.760, 303.641]
[347.020, 303.643]
[347.280, 303.645]
[347.541, 303.647]
[347.801, 303.649]
[348.062, 303.392]
[348.324, 303.134]
[348.584, 303.136]
[348.845, 302.879]
[349.107, 302.621]
[349.368, 302.363]
[349.628, 302.366]
[349.889, 302.108]
[350.150, 302.110]
[350.409, 302.372]
[350.670, 302.115]
[350.931, 302.117]
[351.191, 302.119]
[351.451, 302.121]
[351.712, 302.123]
[351.973, 301.866]
[352.233, 301.868]
[352.493, 301.870]
[352.754, 301.872]
[353.014, 301.874]
[353.274, 301.876]
[353.535, 301.879]
[353.795, 301.881]
[354.054, 302.143]
[354.314, 302.405]
[354.572, 302.926]
[354.831, 303.188]
[355.090, 303.710]
[355.349, 303.972]
[355.608, 304.234]
[355.868, 304.496]
[356.126, 305.018]
[356.384, 305.539]
[356.644, 305.801]
[356.902, 306.323]
[357.161, 306.585]
[357.421, 306.847]
[357.680, 307.109]
[357.938, 307.631]
[358.198, 307.893]
[358.456, 308.414]
[358.715, 308.676]
[358.975, 308.938]
[359.235, 308.940]
[359.494, 309.202]
[359.754, 309.464]
[360.014, 309.466]
[360.274, 309.469]
[360.535, 309.471]
[360.795, 309.473]
[361.054, 309.735]
[361.315, 309.477]
[361.576, 309.479]
[361.835, 309.741]
[362.095, 309.744]
[362.356, 309.746]
[362.616, 309.748]
[362.876, 309.750]
[363.137, 309.752]
[363.397, 309.754]
[363.657, 309.757]
[363.918, 309.759]
[364.177, 310.021]
[364.436, 310.283]
[364.695, 310.804]
[364.953, 311.326]
[365.212, 311.588]
[365.471, 312.110]
[365.729, 312.632]
[365.988, 312.893]
[366.247, 313.415]
[366.507, 313.417]
[366.766, 313.679]
[367.026, 313.941]
[367.286, 313.943]
[367.546, 313.946]
[367.807, 313.948]
[368.067, 313.950]
[368.326, 314.212]
[368.586, 314.214]
[368.847, 314.216]
[369.108, 313.959]
[369.368, 313.961]
[369.629, 313.963]
[369.889, 313.965]
[370.148, 314.227]
[370.410, 313.969]
[370.670, 313.972]
[370.930, 313.974]
[371.191, 313.976]
[371.451, 313.978]
[371.712, 313.721]
[371.973, 313.463]
[372.234, 313.465]
[372.495, 313.207]
[372.756, 312.950]
[373.017, 312.952]
[373.278, 312.694]
[373.538, 312.697]
[373.798, 312.699]
[374.060, 312.441]
[374.321, 312.184]
[374.581, 312.186]
[374.843, 311.928]
[375.104, 311.671]
[375.364, 311.673]
[375.626, 311.415]
[375.887, 311.157]
[376.147, 311.160]
[376.408, 310.902]
[376.669, 310.904]
